證券代碼,公司名稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,漲跌停,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,次日開盤參考價,次日漲停價,次日跌停價,注意股票(A),處置股票(D),全額交割(Y),市場別
2317,鴻海,20221125,95.8683,96.3452,95.3913,95.8683,35032,3524752,-0.495,0.2527,13862991,1393231,100.5,101.0,-0.4963,3.029,1.54,16153,9.54,8.9588,0.96,1.0018,,0.2242,5.17,5.1741,-0.5,0.9901,100.5,110.5,90.5,,,,TSE
2330,台積電,20221125,486.252,490.19,486.252,490.19,41461,20594790,0.4032,0.1599,25930380,12913329,498.0,498.5,0.4024,28.073,9.0,34399,14.56,16.6501,4.72,5.1729,,6.8758,2.21,2.2088,2.0,0.8065,498.0,547.0,448.5,,,,TSE
1216,統一,20221128,64.8,65.3,64.1,65.3,23474,1517220,-0.6088,0.4131,5682015,371036,65.0,65.3,-0.6107,0.819,0.816,8097,20.6,20.7847,3.03,3.2702,,0.7489,4.13,4.1348,-0.4,1.8265,65.3,71.8,58.8,,,,TSE
2317,鴻海,20221128,95.8683,95.8683,95.0097,95.3913,47154,4716021,-0.4975,0.3401,13862991,1386299,99.9,100.0,-0.4988,3.06,2.535,25143,9.5,8.9143,0.96,0.9968,,0.2231,5.2,5.2,-0.5,0.8955,100.0,110.0,90.0,,,,TSE
2330,台積電,20221128,478.378,482.315,472.964,472.964,40815,19790586,-3.5141,0.1574,25930380,12459548,480.5,481.0,-3.5773,27.499,10.639,57163,14.05,16.065,4.55,4.9911,,6.6342,2.29,2.2893,-17.5,1.9076,480.5,528.0,432.5,,,,TSE
1216,統一,20221129,65.1,65.8,64.6,65.8,15056,984441,0.7657,0.265,5682015,373877,65.7,65.8,0.7628,0.817,0.489,5882,20.76,20.9439,3.05,3.2953,,0.7546,4.1,4.1033,0.5,1.8377,65.8,72.3,59.3,,,,TSE
2317,鴻海,20221129,95.3913,95.8683,95.1051,95.3913,34334,3434389,0.0,0.2477,13862991,1386299,100.0,100.5,0.0,3.028,1.704,19657,9.5,8.9143,0.96,0.9968,,0.2231,5.2,5.2,0.0,0.8,100.0,110.0,90.0,,,,TSE
2330,台積電,20221129,466.074,480.346,465.582,479.362,40266,19374604,1.3528,0.1553,25930380,12628095,486.5,487.0,1.3437,27.582,9.615,35929,14.24,16.2824,4.61,5.0586,,6.724,2.26,2.2587,6.5,3.1217,487.0,535.0,438.5,,,,TSE
2317,鴻海,20221130,95.8683,96.8222,95.3913,95.8683,89148,8977234,0.5,0.6431,13862991,1393231,100.5,101.0,0.4988,3.008,3.287,17838,9.54,8.9588,0.96,1.0018,,0.2242,5.17,5.1741,0.5,1.5,100.5,110.5,90.5,,,,TSE
2330,台積電,20221130,475.425,482.315,474.933,482.315,60728,29643130,0.616,0.2342,25930380,12705886,489.0,490.0,0.6141,27.432,10.855,25325,14.33,16.3827,4.64,5.0898,,6.7654,2.24,2.2449,3.0,1.54,490.0,539.0,441.0,,,,TSE
1216,統一,20221130,65.5,66.3,65.2,66.1,33674,2219864,0.4559,0.5926,5682015,375581,66.1,66.2,0.4549,0.811,0.813,6014,20.85,21.0394,3.06,3.3103,,0.7581,4.08,4.0847,0.3,1.6717,66.1,72.7,59.5,,,,TSE
2317,鴻海,20221201,96.8222,98.253,96.8222,98.253,68347,7001482,2.4876,0.493,13862991,1427888,102.5,103.0,2.4571,3.056,2.533,25731,9.78,9.2828,0.99,0.9854,,0.2179,5.05,5.0485,2.5,1.4925,103.0,113.0,92.7,,,,TSE
2330,台積電,20221201,498.064,500.033,490.682,490.682,43684,21976936,1.7347,0.1685,25930380,12926295,498.5,499.0,1.7198,27.661,7.952,46181,14.58,14.4778,4.72,4.7211,,6.2249,2.21,2.2066,8.5,1.9388,498.5,548.0,449.0,,,,TSE
1216,統一,20221201,66.2,66.2,65.3,65.9,18963,1246923,-0.3026,0.3337,5682015,374445,65.8,65.9,-0.303,0.801,0.451,8200,20.79,21.803,3.06,3.0551,,0.7309,4.1,4.0971,-0.2,1.3616,65.9,72.4,59.4,,,,TSE
1216,統一,20221202,65.2,65.4,64.8,65.0,15184,987518,-1.3657,0.2672,5682015,369331,65.0,65.1,-1.3751,0.793,0.457,6013,20.5,21.5052,3.01,3.0134,,0.721,4.15,4.1538,-0.9,0.9105,65.0,71.5,58.5,,,,TSE
2317,鴻海,20221202,98.253,101.115,98.253,100.638,77966,8196980,2.4272,0.5624,13862991,1462546,105.5,106.0,2.3982,3.138,3.791,37773,10.02,9.5081,1.01,1.0093,,0.2232,4.93,4.9289,2.5,2.9126,105.5,116.0,95.0,,,,TSE
2330,台積電,20221202,482.315,489.205,482.315,484.776,29909,14745810,-1.2036,0.1153,25930380,12770712,492.0,492.5,-1.2109,27.404,6.82,31799,14.4,14.3036,4.66,4.6643,,6.15,2.23,2.2335,-6.0,1.4042,492.5,541.0,443.5,,,,TSE
1216,統一,20221205,65.0,65.5,64.8,65.4,9704,633999,0.6154,0.1708,5682015,371604,65.3,65.4,0.6135,0.796,0.274,4808,20.63,21.6376,3.03,3.0319,,0.7254,4.13,4.1284,0.4,1.0769,65.4,71.9,58.9,,,,TSE
